"userID","eventID","status"
10208087026644044,141783372845728,1
773330646112734,411662922360897,1
427463854124684,890545864386215,1
184243938587150,1080101832022591,1
535137073315462,802887543069782,1
1732962863593662,982290421810279,1
708414719258002,587786681361995,1
469398059935128,802887543069782,1
889954657778233,511804775649731,1
474118289441946,508147322683858,1
523513861157679,922981211110550,1
1706159639595468,453667674816044,1
208501676148665,1035314519836199,1
878544422259357,857622540975972,1
1094488220561389,311755245655422,1
128541460842924,117378128624899,1
10207963509542492,738555442944145,1
642979752508325,347861952089823,1
1508599076105528,905008766246226,1
587710671382257,1648052285418189,1
10208234558489760,617788491694733,1
10154321324818976,1862289050664286,1
10207996027920444,519090021584170,1
1497516140543169,802887543069782,1
931551573605691,874334249323234,1
10206986654458100,805947839515103,1
731425573668695,874334249323234,1
1624455717818867,157307111289538,1
547516175423930,874334249323234,1
493639604146555,1006657816062381,1
743179219148011,905008766246226,1
10153276223956818,905008766246226,1
10153130330237600,905008766246226,1
878544422259357,587786681361995,1
744647905668436,1573780222895939,1
1673292516217999,508147322683858,1
850578408389220,857622540975972,1
10153807490879052,482838738558603,1
643211952487193,874334249323234,1
191860567816048,910059795737600,1
1932844666941562,508147322683858,1
10206701344885306,1862289050664286,1
1111298315547827,497540377073623,1
1648463938763389,494764264037412,1
1687617991524721,508147322683858,1
1491763074462741,1495218810806969,1
754747988004343,1647507122170549,1
467894660064257,975449605847497,1
493639604146555,802887543069782,1
760338004097228,1035314519836199,1
552519028236898,527385800759438,1
1673453309568785,587786681361995,1
1636642089919744,857622540975972,1
1042628312454522,1048580948520263,1
1520683351575003,553707154776476,1
895933887181307,995025613883488,1
914452511943725,311755245655422,1
687356394734022,905008766246226,1
825568154218668,934528249967335,1
563282753836927,171069349914286,1
1203298573017760,1647507122170549,1
10153048340186370,1513489878975889,1
1369618623052388,1642998415970980,1
438770566311705,587786681361995,1
1092256214127205,904360302946503,1
851792678272857,311755245655422,1
1481715035468878,508147322683858,1
10201000202243140,206548529678471,1
10153716337652708,995025613883488,1
10153633400425090,874835075904840,1
529452507222509,1708970406004977,1
1656655851269317,857622540975972,1
748156871994455,1515953172065039,1
190802747923257,608762552594198,1
198074330531022,553707154776476,1
1668948343347366,494764264037412,1
711196992346902,1006657816062381,1
788317357957045,1515953172065039,1
