eventId,start_time,during_time,latitude,longitude
407965239373341,48,3.0,10.870628935757,106.78988917542
1215320585149804,48,3.0,10.6894693524,106.594483955
534708873350828,47,3.0,10.812988747084,106.6719353199
1530136120643016,110,4.0,10.760667435185,106.6631312394
1617910321803458,56,3.0,10.812470749412,106.69434841735
1642998415970980,45,2956.0,10.7771196,106.6994095
1059918304040852,57,3.0,10.793926639648,106.70818894991
609445715860145,56,33.0,10.80640357,106.67654755
122286908135599,57,8.0,,
523608244484258,61,3.0,,
423555677848446,8,5.5,,
505817212923414,57,2.0,10.7835903,106.684227
484435615060571,63,3.0,10.75,106.66667
410356192507154,66,3.0,10.795621055586,106.67643070221
587580811382483,67,3.0,9.42861,105.749
1647213525551952,66,1.5,10.7819004,106.6968613
1232287183454381,67,3.0,10.793926639648,106.70818894991
1192029400810636,67,3.0,10.7677898,106.6586761
1658388237753858,67,3.0,10.779934425415,106.70304728673
942354169169687,69,3.0,10.777698260699,106.70481190705
1574244779504289,72,3.0,10.7694,106.682
1667371076875337,56,33.5,10.77014849532,106.69241100724
1654600748150652,78,3.0,10.7887602,106.7035599
533714410128929,79,2.0,10.775846082642,106.70316181982
710550929046509,80,33.0,10.7694,106.682
453667674816044,79,9.5,10.791655570391,106.70059578034
1026266517404863,80,109.0,10.7632256,106.6759262
947821865304797,81,276.0,,
937517256296015,78,293.0,10.741848,106.7157059
1646169172322185,81,3.0,10.78267,106.6953964
444907082386350,86,3.0,10.786163198234,106.69770701599
614073462063699,88,2.0,10.7915602,106.7002487
1514772282153569,56,8.5,10.7807903,106.6988678
991910604185166,90,3.0,10.771507966836,106.70405848694
1513489878975889,90,3.0,10.771507966836,106.70405848694
721688537965587,67,219.0,10.8171473,106.7296753
1648912038721600,91,3.0,10.714840625129,106.72946533074
760571560721186,96,3.0,10.870628935757,106.78988917542
1676521435919011,92,147.0,10.779934425415,106.70304728673
184749731865323,103,3.0,10.9724544993,106.4875549078
1674089026164377,93,3.0,10.7771196,106.6994095
758027511009337,55,22.0,10.7694,106.6819
1124651970893393,104,3.5,10.7736902,106.6986313
1491009331203182,104,9.0,10.75,106.66667
874835075904840,68,3.0,10.766129429041,106.70763201883
1637400096532178,105,3.0,10.775833333333,106.7015
1509727612672601,106,3.0,10.870628935757,106.78988917542
448725071997866,104,2.0,10.799526065,106.7104479275
1681847088719406,107,3.0,10.796220788824,106.6722132054
955677217858409,107,3.0,10.742874189728,106.73519596294
1219579281404698,110,3.0,10.77474481135,106.70077253668
143833032638833,110,3.0,10.7997398,106.6744995
1929229167303058,117,3.0,10.359095226154,105.53852675846
516133081895453,112,3.0,10.850861157711,106.76642417908
643591252450462,114,3.0,10.776127118745,106.68803669254
778725858916053,114,3.0,10.7803984,106.7035141
1233002830058921,114,3.0,10.7647495,106.6818237
527385800759438,63,99.0,10.764627840446,106.79328430398
436888249849609,114,3.0,10.7843752,106.6961517
1113119658705635,109,1.5,10.936852850417,106.24865475125
834368140009548,113,3.0,10.7716551723,106.701789995
1516210642033578,114,2.5,10.7822027,106.6972809
1703776966504174,114,2.75,10.768915165541,106.7014299221
156832861335620,117,266.5,10.771507966836,106.70405848694
890499470985621,120,3.0,11.788506294109,108.23596164908
1001675233186478,120,3.0,10.7455769,106.6587982
102512316777907,120,3.0,,
665950596841543,116,3.0,10.777698260699,106.70481190705
1513123622338097,120,3.0,10.834505810199,106.72888333101
432421033631860,135,3.0,10.762564081912,106.69417289453
764835670294999,104,3.0,10.76096798517,106.68227894974
614363315369846,120,3.0,10.7881501017,106.666382281
1671816919707903,118,3.0,10.7713666,106.6509649
121618681526413,121,12.0,10.033333333333,105.78333333333
1515279382098467,120,2.0,10.799526065,106.7104479275
1717644918454984,121,1.0,10.816875630593,106.68154547889
569504093201752,126,3.0,10.780191491457,106.65526404766
896603930394641,128,3.0,10.799035336071,106.71871479071
1640096556245126,120,27.0,9.9473877599049,105.8726335599
893606694056340,128,3.0,10.78834742004,106.62485821093
1713321348901216,123,3.0,10.8505058,106.7655182
1659631944249503,128,230.0,10.760667435185,106.6631312394
