,userID,eventID,status,time_score,location_score
1,5.86465E+11,3.11755E+14,-1,0,0
2,6.01561E+11,8.74835E+14,1,0,0.398586191
3,6.5488E+11,8.74835E+14,1,0,0.398809096
4,6.83327E+11,1.69953E+15,1,1,0
5,6.87635E+11,9.89215E+14,1,0,0
6,6.87635E+11,7.9636E+14,1,0,0
7,7.39875E+11,3.11755E+14,0,0,0.398516944
8,7.39875E+11,9.40016E+14,0,0.109108945,0.398495259
9,7.39875E+11,1.62251E+15,1,0,0.398788387
10,7.39875E+11,1.49061E+15,0,0,0
11,7.40678E+11,1.65061E+15,0,1,2.390380197
12,7.40678E+11,1.70125E+15,0,0,2.390380197
13,7.40678E+11,5.13377E+14,1,0,2.390380197
14,7.568E+11,9.31755E+14,0,0,0.396997903
15,7.8751E+11,8.74835E+14,1,0,0.398744519
16,7.89325E+11,1.92597E+14,0,0,0
17,8.25428E+11,1.16204E+15,1,0,0.797618191
18,8.28843E+11,3.98686E+14,1,0,0
19,8.28843E+11,7.36854E+14,1,0,0
20,8.47847E+11,4.06829E+14,1,0.273861279,0.397985728
21,8.49261E+11,4.82839E+14,1,0.927960727,0.794851123
22,8.49261E+11,1.64044E+15,0,0,0.797319212
23,8.53297E+11,4.94764E+14,0,0.070014004,1.194568002
24,8.53297E+11,7.36854E+14,1,0.449867705,1.191472832
25,8.85487E+11,4.82839E+14,1,0,0.3985311
26,8.93257E+11,1.41979E+15,1,0.133630621,0.398035153
27,9.02695E+11,6.17788E+14,0,0,0.795941279
28,9.40395E+11,1.28405E+15,0,0,0.797510352
29,9.51168E+11,1.64044E+15,0,0,0.795715376
30,9.51294E+11,1.52172E+15,0,0,0
31,9.51294E+11,6.17788E+14,0,0,0
32,9.51294E+11,8.63819E+14,0,0,0
33,9.51294E+11,1.48966E+14,0,0,0
34,9.56124E+11,4.06829E+14,1,0.223606798,0
35,9.56124E+11,5.87787E+14,1,0.327326835,0
36,9.56124E+11,1.57307E+14,1,0.75,0
37,9.56124E+11,3.11755E+14,-1,0,0
38,9.56124E+11,7.9636E+14,0,0,0
39,9.69334E+11,3.11755E+14,-1,0,0
40,9.72771E+11,1.643E+15,-1,0,0
41,9.75899E+11,4.36888E+14,-1,0,0.398886293
42,9.95796E+11,1.64751E+15,1,0.196116135,0.398444852
43,9.95796E+11,1.74339E+15,1,0,0.397915552
44,2.46127E+12,8.64042E+14,0,0,0.398927471
45,2.46127E+12,7.36854E+14,-1,0.21821789,0.398475609
46,2.87273E+12,1.48372E+15,0,0.259272486,0.398893351
47,2.90413E+12,4.87624E+14,1,0,0.796627728
48,2.90413E+12,1.64044E+15,1,0,0.79671151
49,3.596E+12,3.11755E+14,-1,0.133630621,0.3985311
50,3.596E+12,1.22911E+15,0,0,0.398410023
51,3.596E+12,1.41979E+15,-1,0.133630621,0.3985311
52,4.41862E+12,1.41783E+14,1,0,0
53,4.41862E+12,1.80347E+14,1,0,0
54,4.41862E+12,1.05292E+15,1,0,0
55,4.41862E+12,8.861E+14,-1,0,0
56,4.41862E+12,1.74339E+15,1,0,0
57,4.60175E+12,6.65951E+14,1,0,0.39882474
58,4.60175E+12,9.34528E+14,1,0.589255651,0.39880235
59,1.00409E+14,1.65076E+15,0,0,0
60,1.00409E+14,8.57623E+14,0,0,0
61,1.00409E+14,4.55638E+14,0,0,0
62,1.00772E+14,8.57623E+14,1,0.965380872,7.959312294
63,1.02449E+14,4.55638E+14,0,0,0
64,1.02449E+14,9.14116E+14,1,0.368229847,0
65,1.02449E+14,1.16204E+15,0,0,0
66,1.02449E+14,2.11125E+15,0,0,0
